Produto,Guerra,Guerra Produto + Classificação,"Concat(Produto,Variedade,Classificação)"
Produto,Guerra,Guerra Produto + Classificação,Produto_Variedade_Classificação
BATATA-DOCE,409,409@873,BATATA-DOCE_BRANCA_2A
BATATA-DOCE,409,409@872,BATATA-DOCE_BRANCA_1A
BATATA-DOCE,409,409@1014,BATATA-DOCE_BRANCA_G
BATATA-DOCE,410,410@873,BATATA-DOCE_ROSADA_2A
BATATA-DOCE,410,410@872,BATATA-DOCE_ROSADA_1A
BATATA-DOCE,410,410@1014,BATATA-DOCE_ROSADA_G
BATATA-DOCE,411,411@873,BATATA-DOCE_ROXA_2A
BATATA-DOCE,411,411@872,BATATA-DOCE_ROXA_1A
BATATA-DOCE,411,411@1014,BATATA-DOCE_ROXA_G
BERINJELA,413,413@874,BERINJELA_COMUM_3A
BERINJELA,413,413@873,BERINJELA_COMUM_2A
BERINJELA,413,413@872,BERINJELA_COMUM_1A
BERINJELA,415,415@874,BERINJELA_JAPONESA_3A
BERINJELA,415,415@873,BERINJELA_JAPONESA_2A
BERINJELA,415,415@872,BERINJELA_JAPONESA_1A
BERINJELA,414,414@1017,BERINJELA_PARA_CONSERVA_P
BERINJELA,414,414@1018,BERINJELA_PARA_CONSERVA_M
BETERRABA,416,416@121,BETERRABA_N/A_ESPECIAL
BETERRABA,416,416@874,BETERRABA_N/A_3A
BETERRABA,416,416@873,BETERRABA_N/A_2A
BETERRABA,416,416@1014,BETERRABA_N/A_G
CARÁ,418,418@873,CARÁ_N/A_2A
CARÁ,418,418@1014,CARÁ_N/A_G
CENOURA,420,420@121,CENOURA_N/A_ESPECIAL
CENOURA,420,420@874,CENOURA_N/A_3A
CENOURA,420,420@873,CENOURA_N/A_2A
CENOURA,420,420@1014,CENOURA_N/A_G
CHUCHU,422,422@874,CHUCHU_N/A_3A
CHUCHU,422,422@873,CHUCHU_N/A_2A
CHUCHU,422,422@872,CHUCHU_N/A_1A
ERVILHA,432,432@874,ERVILHA_TORTA_3A
ERVILHA,432,432@873,ERVILHA_TORTA_2A
ERVILHA,432,432@872,ERVILHA_TORTA_1A
GENGIBRE,436,436@193,GENGIBRE_N/A_A
INHAME,437,437@874,INHAME_N/A_3A
INHAME,437,437@873,INHAME_N/A_2A
INHAME,437,437@872,INHAME_N/A_1A
JILÓ,438,438@874,JILÓ_N/A_3A
JILÓ,438,438@873,JILÓ_N/A_2A
JILÓ,438,438@872,JILÓ_N/A_1A
MANDIOCA,440,440@163,MANDIOCA_N/A_GRAÚDA
MANDIOCA,440,440@169,MANDIOCA_N/A_MÉDIA
MANDIOCA,440,440@175,MANDIOCA_N/A_MIÚDA
MANDIOQUINHA,441,441@121,MANDIOQUINHA_N/A_ESPECIAL
MANDIOQUINHA,441,441@874,MANDIOQUINHA_N/A_3A
